StarNumber	20r	20i	20r-20i	E	22r	22i	22r-22i	mean r-i	22b	22v	22b-22v	M	20b	20v	20b-20v	Q	catalogue v	catalogue b-v	catalogue b	U	catalogue v - 22v	catalogue v - 20v	X	catalogue b - 22b	catalogue b - 20b	22v-20v
42	10.328	10.102	0.22649		10.475	10.304	0.17056	0.19852	11.11	10.708	0.40151		11.057	10.67	0.38716		10.56	0.32	10.88		-0.14831	-0.10959		-0.22983	-0.17674	0.038726
43	10.414	10.199	0.21443		10.594	10.454	0.14032	0.17738	11.21	10.837	0.37284		11.118	10.754	0.36438		10.63	0.32	10.95		-0.20706	-0.1238		-0.2599	-0.16818	0.083263
44	10.436	10.229	0.20778		10.578	10.44	0.13752	0.17265	11.177	10.803	0.37426		11.138	10.763	0.37554		10.63	0.29	10.92		-0.17267	-0.1328		-0.25693	-0.21835	0.039863
45	10.413	10.047	0.36622		10.541	10.258	0.2828	0.32451	11.398	10.9	0.49771		11.36	10.844	0.516		10.72	0.48	11.2		-0.17989	-0.12376		-0.1976	-0.15976	0.056127
46	10.456	10.217	0.23959		10.599	10.437	0.16179	0.20069	11.26	10.857	0.40329		11.209	10.803	0.40584											0.053565
47	10.489	10.227	0.2613		10.634	10.464	0.16975	0.21553	11.283	10.906	0.37771		11.231	10.834	0.39712		10.7	0.32	11.02		-0.20577	-0.13393		-0.26348	-0.21105	0.071835
48	10.526	9.7401	0.78545		10.654	9.9569	0.6969	0.74118	12.909	11.46	1.449		12.876	11.425	1.4502											0.034213
49	10.554	10.329	0.22488		10.701	10.566	0.13438	0.17963	11.386	10.949	0.4374		11.335	10.911	0.42454		10.77	0.35	11.12		-0.17879	-0.14069		-0.26618	-0.21523	0.038101
50	10.505	10.186	0.31935		10.638	10.391	0.24702	0.28318	11.521	10.982	0.53948		11.482	10.937	0.54513		11.76	0.52	12.28		0.77849	0.82297		0.759	0.79784	0.04448
51	10.596	10.316	0.28023		10.729	10.512	0.21743	0.24883	11.509	11.031	0.4784		11.463	10.994	0.4688		10.86	0.42	11.28		-0.17055	-0.13413		-0.22895	-0.18293	0.036423
52	10.651	10.429	0.22175		10.798	10.657	0.14079	0.18127	11.463	11.071	0.39199		11.434	10.997	0.43708		10.86	0.36	11.22		-0.21061	-0.13673		-0.24261	-0.21381	0.07388
53	10.647	10.383	0.26423		10.763	10.58	0.1832	0.22371	11.433	11.009	0.42404		11.399	10.972	0.4274		10.84	0.36	11.2		-0.16892	-0.13171		-0.23296	-0.19911	0.03721
54	10.645	10.44	0.20512		10.757	10.613	0.14386	0.17449		11.01			11.378	10.974	0.40331		10.84	0.36	11.2		-0.17001	-0.1342			-0.1775	0.035811
55	10.686	10.319	0.36647		10.841	10.527	0.31307	0.33977	11.778	11.211	0.56759		11.72	11.145	0.57487		11.04	0.52	11.56		-0.17089	-0.10467		-0.21848	-0.15953	0.066224
56	10.716	10.427	0.28883		10.91	10.703	0.2068	0.24781	11.63	11.173	0.45641		11.522	11.074	0.44841		10.97	0.4	11.37		-0.20341	-0.10384		-0.25982	-0.15224	0.099571
57	10.75	10.496	0.25367		10.893	10.719	0.17388	0.21378	11.636	11.172	0.46386		11.586	11.121	0.46508		10.98	0.42	11.4		-0.19237	-0.14119		-0.23622	-0.18627	0.051176
58																										
59	10.718	10.344	0.37346		10.961	10.63	0.33063	0.35204	12.077	11.403	0.67443		11.971	11.295	0.6759											0.10805
60	10.785	10.505	0.27938		11.014	10.794	0.22043	0.24991	11.674	11.268	0.40532		11.546	11.142	0.40445											0.12644
61	10.866	9.9533	0.91252		11.009	10.174	0.83438	0.87345	13.629	11.975	1.6541		13.589	11.908	1.6808											0.067469
62	10.829	10.494	0.33435		11.142	10.832	0.31003	0.32219	11.998	11.397	0.60011		11.804	11.254	0.55027											0.14371
63																	11.08	0.5	11.58							
64						10.214			13.701	11.984	1.7174						11.78	1.61	13.39		-0.20413			-0.3115		
65	10.853	10.608	0.2456		10.975	10.833	0.14194	0.19377	11.684	11.219	0.46497		11.629	11.191	0.43837		11.06	0.37	11.43		-0.1589	-0.13099		-0.25387	-0.19937	0.027904
66	10.888	10.593	0.29478		11.063	10.819	0.2444	0.26959	11.809	11.326	0.48249		11.747	11.292	0.45568		11.13	0.4	11.53		-0.19642	-0.16173		-0.2789	-0.21741	0.034688
67																	10.9	0.38	11.28							
68	10.895	10.539	0.35562		11.045	10.763	0.28259	0.31911	11.913	11.39	0.52252		11.847	11.325	0.5217		11.2	0.47	11.67		-0.19041	-0.12488		-0.24294	-0.17658	0.065531
69	10.908	10.415	0.49289		11.101	10.666	0.43511	0.464	12.353	11.596	0.7572		12.293	11.491	0.80131											0.10429
70					10.965																					
71	10.918	10.172	0.74655		11.087	10.423	0.66458	0.70557	13.271	11.893	1.3782		13.211	11.814	1.3968		12.07	0.46	12.53		0.17697	0.25558		-0.74121	-0.68118	0.078612
72	10.921	10.559	0.36196		11.05	10.753	0.29635	0.32916	11.862	11.334	0.52872		11.838	11.312	0.52562		11.18	0.46	11.64		-0.15353	-0.13249		-0.22225	-0.19811	0.021039
73	10.982	10.75	0.23212		11.12	10.967	0.1529	0.19251	11.797	11.396	0.40114		11.741	11.339	0.40225		11.19	0.39	11.58		-0.20553	-0.1485		-0.21667	-0.16076	0.057028
74	10.974	10.685	0.28835		11.115	10.903	0.2118	0.25007	11.87	11.415	0.45531		11.835	11.364	0.4704		11.23	0.42	11.65		-0.1847	-0.13439		-0.22001	-0.1848	0.050303
75	10.988	10.713	0.27469		11.112	10.906	0.20515	0.23992	11.838	11.407	0.43094		11.835	11.369	0.46582		11.23	0.4	11.63		-0.17724	-0.13921		-0.20818	-0.20503	0.038026
76	11.062	10.825	0.23684		11.206	11.029	0.17678	0.20681	11.9	11.439	0.46067		11.859	11.422	0.43717		11.27	0.35	11.62		-0.16914	-0.15212		-0.27981	-0.23928	0.017029
77	11.079	10.864	0.21502		11.225	11.095	0.12969	0.17236	11.849	11.442	0.40666		11.791	11.404	0.3872		11.25	0.32	11.57		-0.19222	-0.15419		-0.27888	-0.22139	0.038038
78	11.053	10.798	0.25489		11.187	10.979	0.20736	0.23112	11.911	11.466	0.44462		11.913	11.456	0.45679		11.35	0.39	11.74		-0.11646	-0.106		-0.17108	-0.17279	0.010461
79	11.156	10.886	0.26953		11.289	11.098	0.19096	0.23024	12.001	11.571	0.43024		11.954	11.522	0.43195		11.38	0.39	11.77		-0.19074	-0.14221		-0.23098	-0.18416	0.048528
