star	x	y
1298	644.75	234.18
1299	344.11	430.93
1300	903.99	494.05
1301	565.05	594.95
1302	472.27	704.12
1303	463.3	58.02
1304	344.11	430.92
1305	451.04	269.08
1306	720.07	543.14
1307	346.81	24.06
1308	171.48	550.88
1309	251.1	201.56
1310	87.38	825.92
1311	434.93	446.99
1312	714.76	577.28
1313	965.43	967.79
1314	538.36	371.02
1315	466.05	543.7
1316	893.95	326.97
1317	88.05	455.04
1318	611.31	354.85
1319	515.79	857.98
1320	901.99	527.96
1321	454.08	66.33
1322	549.81	890.26
1323	308.53	98.04
1324	199.66	833.21
1325	54.95	979.36
1326	135.16	815.85
1327	884.17	904.1
1328	591.65	227.83
1329	466.03	543.91
1330	199.78	833.07
1331	413.1	498.63
1332	300.61	480.06
1333	389.99	484.9
1334	846.46	300.44
1335	714.65	577.15
1336	936.02	492.87
1337	330.76	883.19
1338	884.09	904.21
1339	1006.5	397.46
1340	292.01	632.04
1341	549.59	890.66
1342	147.12	704.02
1343	936.02	492.66
1344	553.78	613.73
1345	130.17	744.01
1346	230.57	806.47
1347	842.94	694.03
1348	735.93	861.93
1349	140.19	952.64
1350	593.99	358.55
1351	508.09	128.57
1352	554.94	421.35
1353	330.87	883.39
1354	778.79	308.13
1355	832.95	889.63
1356	420.91	943.65
1357	296.93	804.03
1358	269.09	790.67
1359	694.36	204.84
